id,site_id,title,seller_id,category_id,price,initial_quantity,condition,base_price,brand,color,generation,model
MLA1735716096,MLA,Xiaomi Mi Tv Stick Full Hd 8gb Con Control Color Negro,166498436,MLA352001,83990.0,58,new,83990.0,xiaomi,negro,2.ª generación,mi tv stick
MLA1347014756,MLA,Xiaomi Stick 4k Mdz-27-aa De Voz 4k 8gb Negro Con 2gb De Memoria Ram,204101135,MLA352001,118195.0,56,new,118195.0,xiaomi,negro,,stick 4k
MLA1160173040,MLA,Convertidor A Tv Smart Xiaomi Mi Tv Stick Disney Netflix Hbo,371664900,MLA352001,134289.0,14,new,134289.0,xiaomi,,2.ª generación,mi tv stick
MLA1128205818,MLA,Xiaomi Tv Stick 4k 2gb Ram 8gb Rom C/control Netflix-android,262582139,MLA352001,121799.13,239,new,121799.13,xiaomi,,mdz-27-aa,stick 4k
MLA1156364072,MLA,Xiaomi Mi Tv Stick Full Hd 8gb Android 9.0 Hdmi 2k Pcreg,666749750,MLA352001,95109.0,84,new,95109.0,xiaomi,,2.ª generación,mi tv stick
MLA1421268411,MLA,Xiaomi Stick 4k Mdz-27-aa De Voz 4k 8gb 2gb De Memoria Ram,294490958,MLA352001,155092.0,15,new,155092.0,xiaomi,,,stick 4k
MLA1160117408,MLA,Convertidor Smart Xiaomi Mi Tv Stick Amazon Disney Netflix,723068152,MLA352001,134289.0,56,new,134289.0,xiaomi,,2.ª generación,mi tv stick
MLA1128238985,MLA,Xiaomi Tv Stick 4k 2gb Ram 8gb Rom C/control Netflix-android,262582139,MLA352001,165999.0,37,new,165999.0,xiaomi,,mdz-27-aa,stick 4k
MLA916225960,MLA,Xiaomi Mi Tv Stick Mdz-24-aa Full Hd 8gb 1gb Ram Control,23742253,MLA352001,94745.7,85,new,94745.7,xiaomi,,,mi tv stick
MLA1454212392,MLA,Xiaomi Stick 4k Control De Voz 4k 8gb Negro Con 2gbram,668916751,MLA352001,122505.83,1,new,122505.83,xiaomi,,,stick 4k
MLA934496726,MLA, Xiaomi Mi Tv Stick Mdz-24-aa  De Voz Full Hd 8gb  1gb ,680515,MLA352001,122206.0,26,new,122206.0,xiaomi,,2.ª generación,mi tv stick
MLA1404237331,MLA,Xiaomi Stick 4k Mdz-27-aa De Voz 4k 8gb Negro,208948246,MLA352001,226868.02,2,new,226868.02,xiaomi,,,stick 4k
MLA930626947,MLA,Xiaomi Mi Tv Stick Mdz-24-aa Full Hd 8gb 1gb Ram Control,23742253,MLA352001,105273.0,98,new,105273.0,xiaomi,,,mi tv stick
MLA1404199063,MLA,Xiaomi Stick 4k Mdz-27-aa De Voz 4k 8gb Negro,208948246,MLA352001,153782.18,2,new,153782.18,xiaomi,,,stick 4k
MLA1220098794,MLA,Tv Stick Xiaomi Mi Full Hd Chromecast Smart Netflix Disney ,45059170,MLA352001,89999.0,24,new,89999.0,xiaomi,,2.ª generación,mi tv stick
MLA916228017,MLA,Xiaomi Mi Tv Stick Mdz-24-aa Full Hd 8gb 1gb Ram Control,23742253,MLA352001,131446.0,101,new,131446.0,xiaomi,,2.ª generación,mi tv stick
MLA1385002491,MLA,Xiaomi Mi Tv Stick Smart Tv Wifi 8gb  1gb  Voz Netflix Hbo,77566478,MLA352001,94809.0,12,new,94809.0,xiaomi,,2.ª generación,mi tv stick
MLA1220061069,MLA,Xiaomi Mi Tv Stick Full Hd 1080p 8gb Android Chromecast Gtia,53971387,MLA352001,89999.0,9,new,89999.0,xiaomi,,2.ª generación,mi tv stick
MLA1220041782,MLA,Xiaomi Mi Tv Stick Full Hd Smart Android Netflix Amazon +,53971387,MLA352001,123999.0,18,new,123999.0,xiaomi,,2.ª generación,mi tv stick
MLA1142301756,MLA,Xiaomi Mi Tv Stick Mdz-24-ab Full Hd 8gb Negro Con 1gb Ram,160183630,MLA352001,107932.02,42,new,107932.02,xiaomi,,2.ª generación,mi tv stick
MLA1220188993,MLA,Xiaomi Mi Tv Stick Android Chromecast Smart Netflix Amazon +,45059170,MLA352001,123999.0,18,new,123999.0,xiaomi,,2.ª generación,mi tv stick
MLA1104393417,MLA, Xiaomi Mi Tv Stick Full Hd 8gb Negro Con 1gb De Ram,160885918,MLA352001,98340.0,18,new,98340.0,xiaomi,,2.ª generación,mi tv stick
MLA1330818578,MLA,Mi Tv Stick ,64647504,MLA352001,115795.26,2,new,115795.26,xiaomi,,2.ª generación,mi tv stick
MLA1400335498,MLA,Xiaomi Mi Tv Stick Mdz-24-aa Control Voz Full Hd 8gb 1gb Ram,84488765,MLA352001,113245.0,3,new,113245.0,xiaomi,,2.ª generación,mi tv stick
MLA1141550351,MLA,Xiaomi Mi Tv Stick Mdz-24-aa De Voz Full Hd 8gb Negro,320124044,MLA352001,155200.0,3,new,155200.0,xiaomi,,2.ª generación,mi tv stick
MLA1131155678,MLA,Tv Box Xiaomi Mi Tv Stick,668916751,MLA352001,138935.78,5,new,138935.78,xiaomi,,2.ª generación,mi tv stick
MLA1141550367,MLA,Xiaomi Mi Tv Stick Mdz-24-aa De Voz Full Hd 8gb Negro,320124044,MLA352001,203640.0,7,new,203640.0,xiaomi,,2.ª generación,mi tv stick
MLA1480941548,MLA,Xiaomi Mi Tv Stick Mdz-24-aa ,188194030,MLA352001,145000.0,4,new,145000.0,xiaomi,,2.ª generación,mi tv stick
MLA1418323927,MLA,Xiaomi Mi Tv Stick Full Hd 8gb Con Control Color Negro,288331144,MLA352001,108000.0,1,new,108000.0,xiaomi,,2.ª generación,mi tv stick
MLA1330407141,MLA,Mi Tv Stick ,64647504,MLA352001,173692.89,3,new,173692.89,xiaomi,,2.ª generación,mi tv stick
MLA1173627771,MLA,Tv Stick Xiaomi Hdmi 1080p Andorid Tv Google Netflix Voz Cts,16965300,MLA352001,127690.0,4,new,127690.0,xiaomi,,2.ª generación,mi tv stick
